"Date(UTC)","UnixTimeStamp","Value (Wei)"
"8/7/2021","1628294400","87279990105"
"8/8/2021","1628380800","82964219266"
"8/9/2021","1628467200","84228596760"
"8/10/2021","1628553600","73989051209"
"8/11/2021","1628640000","79740462185"
"8/12/2021","1628726400","84218281856"
"8/13/2021","1628812800","111564170467"
"8/14/2021","1628899200","97307338364"
"8/15/2021","1628985600","72879828505"
"8/16/2021","1629072000","130245603395"
"8/17/2021","1629158400","160713341534"
"8/18/2021","1629244800","146053395746"
"8/19/2021","1629331200","136207839299"
"8/20/2021","1629417600","100905782253"
"8/21/2021","1629504000","128429994310"
"8/22/2021","1629590400","96260426239"
"8/23/2021","1629676800","100032620325"
"8/24/2021","1629763200","103241384699"
"8/25/2021","1629849600","117799148898"
"8/26/2021","1629936000","94936355276"
"8/27/2021","1630022400","107746621057"
"8/28/2021","1630108800","103998923839"
"8/29/2021","1630195200","88624205077"
"8/30/2021","1630281600","480806140894"
"8/31/2021","1630368000","301856690874"
"9/1/2021","1630454400","304729959869"
"9/2/2021","1630540800","192088713517"
"9/3/2021","1630627200","192413086786"
"9/4/2021","1630713600","255972969461"
"9/5/2021","1630800000","144654365434"
"9/6/2021","1630886400","159491572216"
"9/7/2021","1630972800","464737238980"
"9/8/2021","1631059200","301795573047"
"9/9/2021","1631145600","225468999674"
"9/10/2021","1631232000","161831915681"
"9/11/2021","1631318400","135112809228"
"9/12/2021","1631404800","159472589404"
"9/13/2021","1631491200","198877821080"
"9/14/2021","1631577600","203126881842"
"9/15/2021","1631664000","279634621359"
"9/16/2021","1631750400","249576639997"
"9/17/2021","1631836800","237496695881"
"9/18/2021","1631923200","221438430267"
"9/19/2021","1632009600","264902184772"
"9/20/2021","1632096000","356311987431"
"9/21/2021","1632182400","349833300185"
"9/22/2021","1632268800","370418151780"
"9/23/2021","1632355200","270542665321"
"9/24/2021","1632441600","352274964192"
"9/25/2021","1632528000","227591926374"
"9/26/2021","1632614400","247543952816"
"9/27/2021","1632700800","326874206789"
"9/28/2021","1632787200","336871308726"
"9/29/2021","1632873600","218451398657"
"9/30/2021","1632960000","190003313650"
"10/1/2021","1633046400","216948194833"
"10/2/2021","1633132800","196024205391"
"10/3/2021","1633219200","205306310380"
"10/4/2021","1633305600","310416389107"
"10/5/2021","1633392000","263779118077"
"10/6/2021","1633478400","586181292664"
"10/7/2021","1633564800","929144696325"
"10/8/2021","1633651200","494393880271"
"10/9/2021","1633737600","312953281925"
"10/10/2021","1633824000","348009165411"
"10/11/2021","1633910400","386021152827"
"10/12/2021","1633996800","339797161156"
"10/13/2021","1634083200","230586329368"
"10/14/2021","1634169600","233346493849"
"10/15/2021","1634256000","278056833593"
"10/16/2021","1634342400","192339286542"
"10/17/2021","1634428800","281158322402"
"10/18/2021","1634515200","193390536735"
"10/19/2021","1634601600","301559422075"
"10/20/2021","1634688000","239863872350"
